topic,asset,signal,window,mean,p,n,p_fdr,p_fdr_trim
iran_military,CVX,dvol_z,pre,0.16322070604756467,0.01,274,0.017048853439680958,0.025850340136054424
iran_military,CVX,dvol_z,post,-0.03227194696494739,0.6328,274,0.6822749054224464,0.7100314960629922
iran_military,CVX,signed_vol_tick,pre,107158.01094890511,1.232199763802774e-07,274,3.696599291408322e-07,1.4943699263140025e-06
iran_military,CVX,signed_vol_tick,post,208072.79927007298,0.0004,274,0.0008571428571428572,0.0016703296703296704
iran_military,CVX,OFI_bvc,pre,0.031794321924072874,3.4804932161156194e-10,274,1.2096836177962824e-09,8.097474013003685e-09
iran_military,CVX,OFI_bvc,post,0.024864700289436572,0.0004,274,0.0008571428571428572,0.0016703296703296704
iran_military,CVX,vpin_z,pre,-0.2169035056257162,0.0008,274,0.001624703087885986,0.002923076923076923
iran_military,CVX,vpin_z,post,0.04673981832203114,0.5792,274,0.6300458015267176,0.6589700598802395
iran_military,JPM,logret,pre,-1.1434880643054774e-05,0.542,253,0.5960257234726688,0.6271156186612576
iran_military,JPM,logret,post,-0.00022175012064477983,0.0004,253,0.0008571428571428572,0.0016703296703296704
iran_military,JPM,vol_z,pre,0.004949491413768235,0.9332,253,0.943685393258427,0.9490169491525423
iran_military,JPM,vol_z,post,0.17798120205241716,0.108,253,0.14893548387096775,0.18376119402985075
iran_military,JPM,dvol_z,pre,0.004676112851962007,0.9216,253,0.935273590504451,0.9422636771300449
iran_military,JPM,dvol_z,post,0.18078601176059383,0.0992,253,0.1376883116883117,0.17082779456193353
iran_military,JPM,signed_vol_tick,pre,22446.592885375496,0.1928,253,0.2486334841628959,0.2907301587301587
iran_military,JPM,signed_vol_tick,post,206604.18577075098,0.0008,253,0.001624703087885986,0.002923076923076923
iran_military,JPM,OFI_bvc,pre,0.025239625602271477,5.948812710584457e-07,253,1.6897790257640237e-06,6.0014570708551166e-06
iran_military,JPM,OFI_bvc,post,-0.020503944791986597,0.0044,253,0.007928345626975765,0.01279591836734694
iran_military,JPM,vpin_z,pre,-0.4966743312629192,2.904874612435202e-14,253,1.1525140573698827e-13,2.5112695010439033e-12
iran_military,JPM,vpin_z,post,-0.5190233636753625,9.681480451778033e-11,253,3.4418568757880327e-10,2.508383571597036e-09
iran_military,GS,logret,pre,-1.180983803360489e-05,0.5768,251,0.6286347992351816,0.6582102102102102
iran_military,GS,logret,post,-0.0004321954619067908,6.079182383089637e-07,251,1.723947242965718e-06,6.079182383089637e-06
iran_military,GS,vol_z,pre,-0.0620562125097914,0.274,251,0.3370791366906475,0.3809268292682927
iran_military,GS,vol_z,post,0.09865700125522693,0.2884,251,0.35175748930099854,0.39516346153846155
iran_military,GS,dvol_z,pre,-0.06584227842975625,0.2528,251,0.31600000000000006,0.36114285714285715
iran_military,GS,dvol_z,post,0.09284818411180219,0.324,251,0.38907303370786517,0.4325058548009368
iran_military,GS,signed_vol_tick,pre,-9734.498007968128,0.0196,251,0.03109090909090909,0.043640624999999995
iran_military,GS,signed_vol_tick,post,16733.756972111554,0.21,251,0.26738644825018615,0.3097024579560155
iran_military,GS,OFI_bvc,pre,-0.02179612257573702,9.733033535221796e-05,251,0.0002340856166698913,0.0005492900113937053
iran_military,GS,OFI_bvc,post,-0.03934613118114166,9.304441351509307e-05,251,0.00022409288325466074,0.0005277145841154533
iran_military,GS,vpin_z,pre,-0.4163533510116463,5.436534200901126e-09,251,1.784351916226665e-08,9.390377256101946e-08
iran_military,GS,vpin_z,post,-0.27171232636427467,0.000692256428211915,251,0.0014578306554709046,0.0027497293664166655
energy_oil,DJT,logret,pre,7.76450051233834e-05,0.1468,156,0.19642253521126762,0.2363728813559322
energy_oil,DJT,logret,post,-0.0005446239741523893,0.022,156,0.034545454545454546,0.04795411089866156
energy_oil,DJT,vol_z,pre,0.025332827525407168,0.6372,156,0.6861536523929471,0.7135638506876228
energy_oil,DJT,vol_z,post,0.09794292124755039,0.4684,156,0.5276442687747035,0.5632658227848101
energy_oil,DJT,dvol_z,pre,0.021067265021383792,0.732,156,0.7731439159975294,0.7955004766444232
energy_oil,DJT,dvol_z,post,0.07027277431590373,0.5684,156,0.6206666666666667,0.6503831494483451
energy_oil,DJT,signed_vol_tick,pre,-41286.480769230766,1.4315698334267444e-12,156,5.427903359555949e-12,6.276883115794186e-11
energy_oil,DJT,signed_vol_tick,post,-64405.85256410256,0.0088,156,0.015154078549848942,0.023222222222222224
energy_oil,DJT,OFI_bvc,pre,-0.021199449607121328,0.0048,156,0.008567849686847597,0.013748743718592964
energy_oil,DJT,OFI_bvc,post,-0.03155414646117352,3.32928545623647e-05,156,8.33539989775163e-05,0.00021442855480845058
energy_oil,DJT,vpin_z,pre,0.09138405173511867,0.3132,156,0.3787637906647808,0.423042654028436
energy_oil,DJT,vpin_z,post,0.21413777507224538,0.0432,156,0.06434843205574912,0.08505699481865286
energy_oil,VXX,logret,pre,-0.00032953090224049957,1.8385326373415243e-05,150,4.7347753160451905e-05,0.00012937822262773692
energy_oil,VXX,logret,post,3.650278126900829e-05,0.8812,150,0.9010974297668859,0.9111731640979148
energy_oil,VXX,vol_z,pre,-0.16678307624022615,0.0004,150,0.0008571428571428572,0.0016703296703296704
energy_oil,VXX,vol_z,post,-0.0014198351592007322,0.978,150,0.9808680351906157,0.9823083700440529
energy_oil,VXX,dvol_z,pre,-0.16796732330287487,0.0002674231010978767,150,0.0006138167823857304,0.0013197503690544562
energy_oil,VXX,dvol_z,post,-0.02024528023222892,0.8736,150,0.8976216216216216,0.9099178082191781
energy_oil,VXX,signed_vol_tick,pre,45396.013333333336,0.0148,150,0.024125834127740706,0.034859504132231406
energy_oil,VXX,signed_vol_tick,post,-99306.20666666667,0.1644,150,0.21674942174248263,0.2577936726272352
energy_oil,VXX,OFI_bvc,pre,0.0013789925738721613,0.864,150,0.8905605786618446,0.9044628099173554
energy_oil,VXX,OFI_bvc,post,0.024570409279948326,0.0052,150,0.00927215849843587,0.014857142857142857
